station,quantity,date,obs_value,n_samples,obs_event,lead,model_prob,n_pixels,box_radius,station_name,mode
CPP,pda,2022-11-01,0.0,1,0,0,0.7649553,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2022-11-08,0.0,1,0,0,0.7479143,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2022-11-15,0.0,1,0,0,0.7665556,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2022-11-29,0.0,1,0,0,0.8370292,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2022-12-06,0.0,1,0,0,0.5992748,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2022-12-13,0.0,1,0,0,0.8597499,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2022-12-26,0.0,1,0,0,0.7105962,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-01-30,0.0,1,0,0,0.94813955,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-02-06,0.0,1,0,0,0.9194827,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-02-13,0.0,1,0,0,0.9698634,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-02-27,0.0,1,0,0,0.8209583,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-03-06,0.0,1,0,0,0.84420466,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-03-20,0.0,1,0,0,0.84077144,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-03-28,0.023,1,0,0,0.933351,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-04-03,0.037,1,0,0,0.94560635,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-04-10,0.0,1,0,0,0.74573535,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-04-17,0.0,1,0,0,0.69971,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-05-01,0.0,1,0,0,0.81271005,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-05-08,0.0,1,0,0,0.7384797,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-05-15,0.38,1,0,0,0.8188511,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-05-30,0.037,1,0,0,0.6888145,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-06-05,0.982,1,1,0,0.8030013,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-06-12,0.0,1,0,0,0.77696157,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-06-19,0.0,1,0,0,0.8192088,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-06-26,0.0,1,0,0,0.74764836,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-07-03,0.0,1,0,0,0.90033793,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-07-09,0.0,1,0,0,0.69860053,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-07-20,0.0,1,0,0,0.49138105,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-07-24,0.022,1,0,0,0.866573,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-08-01,1.121,1,1,0,0.7058555,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-08-07,0.0,1,0,0,0.69203126,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-08-14,0.0,1,0,0,0.3294065,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-08-21,0.0,1,0,0,0.81868243,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-08-28,0.0,1,0,0,0.72861576,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-09-04,0.0,1,0,0,0.5465311,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-09-12,0.0,1,0,0,0.7880786,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-09-18,0.0,1,0,0,0.6901681,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-09-25,0.0,1,0,0,0.60947853,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-10-02,0.0,1,0,0,0.7503109,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-10-09,0.0,1,0,0,0.6949612,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-10-16,0.03,1,0,0,0.7464179,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-10-23,0.0,1,0,0,0.6200672,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-10-30,0.0,1,0,0,0.7804091,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-11-06,0.0,1,0,0,0.5748309,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-11-27,0.0,1,0,0,0.8770604,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-12-04,0.0,1,0,0,0.8780912,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-12-12,0.021,1,0,0,0.8845144,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-12-19,0.0,1,0,0,0.8273371,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2023-12-24,0.0,1,0,0,0.33162677,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-01-01,0.0,1,0,0,0.9957785,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-01-08,0.02,1,0,0,0.9813595,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-01-16,0.0,1,0,0,0.92821264,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-01-22,0.0,1,0,0,0.898409,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-01-29,0.0,1,0,0,0.85322845,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-02-05,0.0,1,0,0,0.9824612,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-02-19,0.0,1,0,0,0.9388199,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-02-26,0.0,1,0,0,0.887848,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-03-04,0.0,1,0,0,0.9831948,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-03-11,0.0,1,0,0,0.7356411,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-03-24,0.027,1,0,0,0.898425,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-04-01,0.0,1,0,0,0.864196,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-04-07,0.0,1,0,0,0.7610103,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-04-14,0.0,1,0,0,0.50993055,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-04-22,0.11,1,0,0,0.71807206,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-04-29,0.0,1,0,0,0.8763274,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-05-13,0.0,1,0,0,0.78359115,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-05-20,0.0,1,0,0,0.8488981,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-05-27,0.0,1,0,0,0.8617519,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-06-03,0.0,1,0,0,0.9874568,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-06-10,0.0,1,0,0,0.8361866,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-06-17,0.0,1,0,0,0.9212339,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-07-01,0.0,1,0,0,0.28027892,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-07-07,0.0,1,0,0,0.1431424,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-07-15,0.0,1,0,0,0.8115336,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-07-22,0.0,1,0,0,0.7999283,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-08-18,0.0,1,0,0,0.008763823,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-08-25,0.0,1,0,0,0.035014786,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-09-01,0.0,1,0,0,0.43972766,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-09-08,0.0,1,0,0,0.5680878,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-11-10,0.0,1,0,0,0.69687164,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-11-17,0.0,1,0,0,0.94933033,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-11-24,0.0,1,0,0,0.83790654,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-12-01,0.0,1,0,0,0.68871605,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-12-08,0.0,2,0,0,0.24993728,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-12-22,0.0,1,0,0,0.848048,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2024-12-29,0.0,1,0,0,0.9912785,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2025-01-05,0.0,1,0,0,0.90812814,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2025-01-12,0.0,1,0,0,0.92443705,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2025-01-19,0.0,1,0,0,0.7840835,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2025-01-26,0.0,1,0,0,0.76696104,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2025-02-02,0.0,1,0,0,0.8661914,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2025-02-09,0.0,1,0,0,0.7626619,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2025-02-16,0.0,1,0,0,0.9644748,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2025-02-23,0.0,1,0,0,0.8550911,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2025-03-02,0.0,1,0,0,0.9651935,2,1.0,Cal Poly Pier,strict3x3
CPP,pda,2025-03-16,0.328,1,0,0,0.06345949,1,1.0,Cal Poly Pier,strict3x3
