lag,r,n_pairs,ci95,significant,interpretation,mode,quantity,unit,lead_days
-30,-0.008928373288613567,153,0.15845660835707087,False,model leads obs by 30 d,strict3x3,pn,CPP,0
-29,0.009828407541073544,148,0.16111100755925015,False,model leads obs by 29 d,strict3x3,pn,CPP,0
-28,0.03942237935282971,154,0.15794130094897454,False,model leads obs by 28 d,strict3x3,pn,CPP,0
-27,0.04439778313738327,158,0.15592922769844308,False,model leads obs by 27 d,strict3x3,pn,CPP,0
-26,0.05860402610387553,151,0.15950253791914726,False,model leads obs by 26 d,strict3x3,pn,CPP,0
-25,0.04062899089040879,146,0.16221075416606412,False,model leads obs by 25 d,strict3x3,pn,CPP,0
-24,0.0541006342156308,125,0.1753077294359835,False,model leads obs by 24 d,strict3x3,pn,CPP,0
-23,0.009060868980762407,158,0.15592922769844308,False,model leads obs by 23 d,strict3x3,pn,CPP,0
-22,0.004029250269065581,150,0.1600333298618343,False,model leads obs by 22 d,strict3x3,pn,CPP,0
-21,0.01022102540706596,156,0.15692559072898538,False,model leads obs by 21 d,strict3x3,pn,CPP,0
-20,-0.024994550735103063,154,0.15794130094897454,False,model leads obs by 20 d,strict3x3,pn,CPP,0
-19,0.0021524390170178575,152,0.1589769927081473,False,model leads obs by 19 d,strict3x3,pn,CPP,0
-18,0.022312314419800847,145,0.16276914051333033,False,model leads obs by 18 d,strict3x3,pn,CPP,0
-17,-0.006187036512200362,132,0.17059610283658388,False,model leads obs by 17 d,strict3x3,pn,CPP,0
-16,0.039631639340401516,154,0.15794130094897454,False,model leads obs by 16 d,strict3x3,pn,CPP,0
-15,-0.011253300581904482,153,0.15845660835707087,False,model leads obs by 15 d,strict3x3,pn,CPP,0
-14,-0.016455168781021476,155,0.15743098846488976,False,model leads obs by 14 d,strict3x3,pn,CPP,0
-13,-0.009548646752390809,156,0.15692559072898538,False,model leads obs by 13 d,strict3x3,pn,CPP,0
-12,-0.053562273515736385,154,0.15794130094897454,False,model leads obs by 12 d,strict3x3,pn,CPP,0
-11,0.01881806532150006,141,0.16506177652903772,False,model leads obs by 11 d,strict3x3,pn,CPP,0
-10,0.040485247849330504,133,0.16995355402672752,False,model leads obs by 10 d,strict3x3,pn,CPP,0
-9,-0.09362848179258211,156,0.15692559072898538,False,model leads obs by 9 d,strict3x3,pn,CPP,0
-8,-0.10171821783866365,151,0.15950253791914726,False,model leads obs by 8 d,strict3x3,pn,CPP,0
-7,0.04565279520525266,156,0.15692559072898538,False,model leads obs by 7 d,strict3x3,pn,CPP,0
-6,-0.1010081312169173,156,0.15692559072898538,False,model leads obs by 6 d,strict3x3,pn,CPP,0
-5,-0.01622956384573212,157,0.15642502935565394,False,model leads obs by 5 d,strict3x3,pn,CPP,0
-4,-0.026702438100933933,143,0.1639034339613898,False,model leads obs by 4 d,strict3x3,pn,CPP,0
-3,-0.10143826009678558,136,0.16806861343965865,False,model leads obs by 3 d,strict3x3,pn,CPP,0
-2,0.031100804639164877,156,0.15692559072898538,False,model leads obs by 2 d,strict3x3,pn,CPP,0
-1,-0.2850094121168888,149,0.16056945642173193,True,model leads obs by 1 d,strict3x3,pn,CPP,0
0,0.02708307060990456,160,0.1549516053482506,False,zero lag,strict3x3,pn,CPP,0
1,0.04158587178069575,157,0.15642502935565394,False,model lags obs by 1 d,strict3x3,pn,CPP,0
2,-0.0892382395144598,161,0.15446963962286372,False,model lags obs by 2 d,strict3x3,pn,CPP,0
3,0.07633792394836704,145,0.16276914051333033,False,model lags obs by 3 d,strict3x3,pn,CPP,0
4,0.06800461079650114,130,0.17190337178417772,False,model lags obs by 4 d,strict3x3,pn,CPP,0
5,0.05199387237533035,154,0.15794130094897454,False,model lags obs by 5 d,strict3x3,pn,CPP,0
6,-0.13749774912288953,151,0.15950253791914726,False,model lags obs by 6 d,strict3x3,pn,CPP,0
7,0.06752648289144444,160,0.1549516053482506,False,model lags obs by 7 d,strict3x3,pn,CPP,0
8,0.04752643499819766,160,0.1549516053482506,False,model lags obs by 8 d,strict3x3,pn,CPP,0
9,0.0637220094008178,159,0.15543811080075626,False,model lags obs by 9 d,strict3x3,pn,CPP,0
10,0.06470454446991404,144,0.16333333333333333,False,model lags obs by 10 d,strict3x3,pn,CPP,0
11,0.09862937304094178,131,0.17124599510556343,False,model lags obs by 11 d,strict3x3,pn,CPP,0
12,0.09361989157773591,151,0.15950253791914726,False,model lags obs by 12 d,strict3x3,pn,CPP,0
13,-0.2973062689457851,152,0.1589769927081473,True,model lags obs by 13 d,strict3x3,pn,CPP,0
14,0.08110561815639983,162,0.15399214345840367,False,model lags obs by 14 d,strict3x3,pn,CPP,0
15,0.04474751798255719,162,0.15399214345840367,False,model lags obs by 15 d,strict3x3,pn,CPP,0
16,0.034731421891036764,160,0.1549516053482506,False,model lags obs by 16 d,strict3x3,pn,CPP,0
17,0.02924892689114125,141,0.16506177652903772,False,model lags obs by 17 d,strict3x3,pn,CPP,0
18,0.0739271840146836,130,0.17190337178417772,False,model lags obs by 18 d,strict3x3,pn,CPP,0
19,0.07130414270357997,156,0.15692559072898538,False,model lags obs by 19 d,strict3x3,pn,CPP,0
20,0.0705027705924375,151,0.15950253791914726,False,model lags obs by 20 d,strict3x3,pn,CPP,0
21,0.056189337717372535,162,0.15399214345840367,False,model lags obs by 21 d,strict3x3,pn,CPP,0
22,0.034646011442064,157,0.15642502935565394,False,model lags obs by 22 d,strict3x3,pn,CPP,0
23,0.016686802863459672,159,0.15543811080075626,False,model lags obs by 23 d,strict3x3,pn,CPP,0
24,-0.005720115437496593,141,0.16506177652903772,False,model lags obs by 24 d,strict3x3,pn,CPP,0
25,0.06293348929845724,133,0.16995355402672752,False,model lags obs by 25 d,strict3x3,pn,CPP,0
26,0.037909840693702984,153,0.15845660835707087,False,model lags obs by 26 d,strict3x3,pn,CPP,0
27,0.05245939162336762,153,0.15845660835707087,False,model lags obs by 27 d,strict3x3,pn,CPP,0
28,0.05737570229637364,158,0.15592922769844308,False,model lags obs by 28 d,strict3x3,pn,CPP,0
29,0.04587131667279415,162,0.15399214345840367,False,model lags obs by 29 d,strict3x3,pn,CPP,0
30,0.03398193859126299,158,0.15592922769844308,False,model lags obs by 30 d,strict3x3,pn,CPP,0
-30,-0.03555639671655783,131,0.17124599510556343,False,model leads obs by 30 d,strict3x3,pn,CPP,1
