unit,quantity,period,method,n_stations,n_weeks,acf_w1,acf_w2,acf_w4,acf_w26,acf_w52,acf_slope,first_insig_lag,nonstationary_by_acf,trend_r,trend_p,adf_p,kpss_p,verdict,stl_trend_r,stl_trend_p,seasonal_strength,trend_strength
All California (PN),pn,full,raw,13,942,0.5477184394655672,0.4151528485942119,0.29778298852534196,-0.13342780332945642,0.3416407250042403,-0.023101861468507946,13.0,False,-0.06794266538894224,0.03707489922376597,2.210775438844461e-12,0.1,stationary (both agree),,,,
All California (PN),pn,full,seasonal_diff,13,889,0.3728331731885174,0.2339567332441808,0.09385363698183818,0.052343465897084274,-0.44427463777718684,-0.0060742355422968,11.0,False,-0.031367169130328325,0.35022098588931627,4.059022476554904e-09,0.1,stationary (both agree),,,,
All California (PN),pn,full,stl,13,1102,0.31787795473227815,0.18457456267428018,0.03359223587451989,0.015333370641282472,-0.05296386610111758,-0.005991821451613523,4.0,False,0.013059537260303412,0.6649741681560082,1.9825318432583363e-13,0.1,stationary (both agree),-0.6898326289544576,1.7133995818315442e-156,0.41586851303157724,0.3134812830279454
All California (PN),pn,window,raw,13,193,0.6253781246500528,0.4059613481903198,0.2863998875501061,-0.24130940267460002,0.30480921877080314,-0.026416063507930528,9.0,False,0.1401589937845367,0.051882261566115646,7.248848637524624e-09,0.1,stationary (both agree),,,,
All California (PN),pn,window,seasonal_diff,13,141,0.50286321965982,0.2654774210319882,0.09410675875061662,0.032613416950623385,-0.6078873564138068,-0.006001666440086756,3.0,False,-0.06312871800257777,0.4570692193493775,3.4023988206110837e-09,0.1,stationary (both agree),,,,
All California (PN),pn,window,stl,13,193,0.5220547895824003,0.18576931430755958,0.0016819310477702342,-0.010618115321249717,0.14394958930082907,-0.0054692018994836195,3.0,False,0.056186407863859866,0.43768447710797065,3.094821221532958e-11,0.1,stationary (both agree),0.8708480531322779,8.128646395618676e-61,0.4633589202566989,0.029048853728734114
All California (pDA),pda,full,raw,9,939,0.3780181308892942,0.24036993942738472,0.24791924674321664,-0.05055521286195451,0.052522379106380745,-0.010890178920030226,8.0,False,-0.053543269299693795,0.101062785057855,1.2728934763914275e-16,0.1,stationary (both agree),,,,
All California (pDA),pda,full,seasonal_diff,9,887,0.289956271538211,0.15927361143739985,0.2054506617884348,-0.030434626496487996,-0.5087607367443532,-0.006738063703752303,6.0,False,0.0033418501688072134,0.9208296307435901,1.1664062801045767e-17,0.1,stationary (both agree),,,,
All California (pDA),pda,full,stl,9,939,0.4157111916886901,0.2606737297354394,0.1693132092938111,0.014139003394474414,-0.07342106078995615,-0.007861085469194543,8.0,False,-0.08922396663404152,0.0062206911543335585,3.3342305041663257e-19,0.1,stationary (both agree),0.053967607162338935,0.09838442540124,0.3431464276839935,0.0
All California (pDA),pda,window,raw,9,191,0.5133811705920519,0.20856310105140977,0.14541062079006373,-0.11892276650840043,0.02875726200207949,-0.010413403406612865,5.0,False,0.2612063501300761,0.000262427494980025,5.02255209463627e-06,0.03325651131427959,"conflicting: ADF stationary, KPSS non-stationary (possible trend-stationarity)",,,,
All California (pDA),pda,window,seasonal_diff,9,139,0.48824063947646745,0.2622260662897907,0.13076368423843085,-0.025422635753586373,-0.4856740372916891,-0.004897213358674369,4.0,False,-0.00021775909715648765,0.9979700577266204,3.4334948516852745e-06,0.1,stationary (both agree),,,,
All California (pDA),pda,window,stl,9,191,0.4412635523410839,0.09516758545628748,0.0593617528814536,-0.018268494949837948,0.01128044130509943,-0.004968117737685686,2.0,False,0.18414982763544077,0.010767902443440568,9.094420254210491e-13,0.09320354618240709,stationary (both agree),0.9999999973191043,0.0,0.05527509446300982,0.05282971036159423
Trinidad Pier,pda,full,raw,1,106,0.6396382027467733,0.7041805991976398,0.4509060601549506,-0.06997917779935336,-0.049804019119008246,-0.02047431426632505,5.0,False,0.14240962881005978,0.14532474547488453,,,insufficient data,,,,
Trinidad Pier,pda,full,seasonal_diff,1,21,,,0.7355403902597746,0.07156470980173232,,-0.03517102760608497,7.0,False,-0.03790222342717229,0.8704300821501776,,,insufficient data,,,,
Trinidad Pier,pda,full,stl,1,451,0.8758643529082123,0.7806460803941491,0.6890193823234114,0.03761925244238784,-0.09970862045012524,-0.029454236233133535,24.0,False,0.25697709874953156,3.1043917058392334e-08,0.006471382399678021,0.06689702855269118,stationary (both agree),0.48173107610523486,1.396378979432957e-27,0.05474035942922861,0.21449927949084402
Trinidad Pier,pda,window,raw,1,47,,0.6187101540646278,0.5451195150104269,-0.15896025376551295,0.9879321130478823,-0.03474455458594994,7.0,False,0.16569341233495927,0.26568099154325336,,,insufficient data,,,,
Trinidad Pier,pda,window,seasonal_diff,1,3,,,,,,,,,,,,,insufficient data,,,,
Trinidad Pier,pda,window,stl,1,179,0.9537216390551765,0.9031162325843,0.8272595158416618,-0.08614685129445453,-0.2655451594167408,-0.04038693517812579,19.0,False,0.057007775178136516,0.44845974874869265,0.1652553019955429,0.1,"conflicting: ADF unit root, KPSS stationary (weak evidence)",0.4054344734344447,1.8020382363261598e-08,0.22661192501774996,0.49452202759807196
Humboldt,pda,full,raw,1,86,,0.5911479685634057,0.5901666847222381,-0.08060417036509981,-0.11082022067399945,-0.014710653596455467,5.0,False,-0.07269003941456106,0.505976138761133,,,insufficient data,,,,
Humboldt,pda,full,seasonal_diff,1,13,,,,,,,,,,,,,insufficient data,,,,
Humboldt,pda,full,stl,1,449,0.8640074543201106,0.6843045371248081,0.4011931372334621,0.027209421255199522,-0.21208815644830448,-0.020155017675295428,15.0,False,0.04375292152929953,0.35498336580821266,4.092193105361289e-07,0.1,stationary (both agree),-0.30088764500864296,7.54664603288807e-11,0.1133426273086896,0.023407454482803236
Humboldt,pda,window,raw,1,34,,0.23867941852732738,0.34749330343168655,-0.13967547051881513,,-0.011522781073991087,2.0,False,-0.0765538360323287,0.6669646226672772,,,insufficient data,,,,
Humboldt,pda,window,seasonal_diff,1,2,,,,,,,,,,,,,insufficient data,,,,
Humboldt,pda,window,stl,1,178,0.9607140623654548,0.9014832622978153,0.7743209513290313,-0.26458594674461305,-0.14533965613160207,-0.04425310190100535,17.0,False,0.09557165919925015,0.20443802244074985,0.10615509051666255,0.1,"conflicting: ADF unit root, KPSS stationary (weak evidence)",0.004959674225017006,0.9476130716263932,0.0,0.36871562861755347
Humboldt South Bay,pda,full,raw,1,103,0.45082972171318014,-0.03615833201981762,-0.028256650458022434,-0.10306340968945649,-0.06369848850148244,-0.002432116302647349,2.0,False,0.14153930074689552,0.1538318222762522,,,insufficient data,,,,
Humboldt South Bay,pda,full,seasonal_diff,1,25,,0.13007230615059298,0.9999999999999999,,,-0.028116667420277307,2.0,False,0.06345709787730885,0.7631511191955063,,,insufficient data,,,,
Humboldt South Bay,pda,full,stl,1,451,0.7523281805958848,0.3866609566916223,-0.029594692395971484,0.183946578510207,-0.06311916398146458,-0.0026190960639850417,3.0,False,0.10009183577040279,0.03358106819033045,1.603895201511342e-13,0.1,stationary (both agree),0.6085959634489507,4.801200803835565e-47,0.02415549106964654,0.1258128978460461
Humboldt South Bay,pda,window,raw,1,39,,-0.09196210469255947,-0.13511119534388394,-0.17308989551322787,-0.2037247996890051,-0.00258148836872397,2.0,False,0.009088340296147572,0.9562092663590094,,,insufficient data,,,,
Humboldt South Bay,pda,window,seasonal_diff,1,7,,,,,,,,,,,,,insufficient data,,,,
Humboldt South Bay,pda,window,stl,1,179,0.690436396251259,0.4569878441328672,-0.0072960847752388215,0.1790309591879667,-0.03480677180355537,-0.005076089239068597,4.0,False,0.005792707375746455,0.9386562960037063,1.9036665421845714e-08,0.1,stationary (both agree),0.8963312669983609,2.0161204693021633e-64,0.21236366988966682,0.055796002923171995
Bodega Marine Lab,pn,full,raw,1,272,0.3918402443563934,0.22034816490495956,0.06216292827504235,0.010135737484993562,0.013358281751356931,-0.006527464158562838,4.0,False,-0.19157559231973753,0.0015012152397950141,0.11603272926415742,0.1,"conflicting: ADF unit root, KPSS stationary (weak evidence)",,,,
Bodega Marine Lab,pn,full,seasonal_diff,1,214,0.4128333859891922,0.2034108364698627,0.13113578545778218,-0.02559718931309333,-0.5686451027849283,-0.011152114478897903,4.0,False,0.09050931683605794,0.1871720418343031,0.0001424096605434085,0.1,stationary (both agree),,,,
Bodega Marine Lab,pn,full,stl,1,326,0.323486207893761,0.10311894493085288,0.13294984014411101,0.047269850907134536,-0.03496663800678555,-0.007245456098551044,2.0,False,0.09101031884790763,0.10093699201263537,0.0016006110141026718,0.09148238705730972,stationary (both agree),-0.7971327792465163,5.680048613153396e-73,0.11161850625122816,0.050968506788601986
Bodega Marine Lab,pn,window,raw,1,174,0.42259477474609836,0.21093101892947255,0.06058788516257711,-0.0688349475330803,-0.0781673306688482,-0.00810373631412112,3.0,False,0.030350540449509734,0.6909566884971808,0.11603272926415742,0.1,"conflicting: ADF unit root, KPSS stationary (weak evidence)",,,,
Bodega Marine Lab,pn,window,seasonal_diff,1,120,0.4760592637730841,0.23000959017647643,0.1984223733632273,-0.045612130841019616,-0.6579159557677727,-0.013060028216310105,5.0,False,-0.19957970000218933,0.028856690026936995,0.0001424096605434085,0.1,stationary (both agree),,,,
Bodega Marine Lab,pn,window,stl,1,180,0.47667296303340795,0.25247845921683537,0.20898199809999607,-0.03923128538200253,-0.005396377185314155,-0.013694018686828943,3.0,False,-0.0060762578734474566,0.9354782481848227,0.09421079991178921,0.1,"conflicting: ADF unit root, KPSS stationary (weak evidence)",0.5799936554120834,1.4393148768432658e-17,0.2409262246746552,0.0
Bodega Marine Lab Buoy,pn,full,raw,1,53,,-0.23722222162671636,0.295359797779205,-0.7693362915829353,0.7420786026672185,-0.010534824146410418,2.0,False,-0.33324822264149895,0.014753325501692022,,,insufficient data,,,,
Bodega Marine Lab Buoy,pn,full,seasonal_diff,1,10,,,,,,,,,,,,,insufficient data,,,,
Bodega Marine Lab Buoy,pn,full,stl,1,311,0.8652261548548206,0.695734186078963,0.36407046222666095,-0.03230572618295722,-0.1501432305352797,-0.016629402604052226,6.0,False,-0.07690387415505778,0.17613308809420997,0.001345315091898054,0.1,stationary (both agree),-0.8269344438172812,3.0077186740464524e-79,0.2825912611646809,0.2008642192697031
Bodega Marine Lab Buoy,pn,window,raw,1,26,,,0.31873895660473067,,0.9573834538546598,0.0003993101169786444,4.0,False,-0.183477516158919,0.36961536479663826,,,insufficient data,,,,
Bodega Marine Lab Buoy,pn,window,seasonal_diff,1,3,,,,,,,,,,,,,insufficient data,,,,
Bodega Marine Lab Buoy,pn,window,stl,1,168,0.9282740635585148,0.827403924071443,0.5756345690792329,-0.11092150945828508,-0.07824972600812395,-0.03299121580423096,12.0,False,-0.015411659727411035,0.8428273219766922,0.0041951121187381495,0.1,stationary (both agree),-0.8953875629764773,3.257883750591643e-60,0.5449762343249671,0.15501384496337278
Tomales Bay Mouth,pn,full,raw,1,65,,,-0.018700751932056545,-0.2310627092205573,-0.5897954247191762,-0.022799441589696108,4.0,False,-0.11348491677760157,0.3680647452693876,,,insufficient data,,,,
Tomales Bay Mouth,pn,full,seasonal_diff,1,18,,,,,,,,,,,,,insufficient data,,,,
Tomales Bay Mouth,pn,full,stl,1,297,0.9235831783361165,0.7853741741869763,0.4423431142253125,-0.031720798429707556,0.01937087314941305,-0.01896004796916273,7.0,False,0.011807146831556602,0.8394244865310126,4.545123675950191e-07,0.1,stationary (both agree),-0.2557743014241486,8.0512001257709e-06,0.39035853473394366,0.04635006858637136
Tomales Bay Mouth,pn,window,raw,1,36,,,-0.00472963742938684,-0.5706997773851956,-0.5878188250620128,-0.024335414406641828,3.0,False,-0.0005893337730829385,0.9972782566924768,,,insufficient data,,,,
Tomales Bay Mouth,pn,window,seasonal_diff,1,8,,,,,,,,,,,,,insufficient data,,,,
Tomales Bay Mouth,pn,window,stl,1,172,0.816111913967731,0.6293611173829828,0.2522617294919367,0.021481703341943104,0.06872812233056383,-0.008669053418604428,5.0,False,-0.11530042270901825,0.13202810055840097,1.7603182011668294e-05,0.1,stationary (both agree),0.9832188212989775,1.5127012295487684e-127,0.649107868357415,0.19370147663381054
Tomales Bay Mid-Channel Buoy,pn,full,raw,1,58,,,0.5542640973371253,-0.43602915162433964,0.3541753226826535,-0.038258236135394336,5.0,False,-0.21719774752029639,0.10147664404861512,,,insufficient data,,,,
Tomales Bay Mid-Channel Buoy,pn,full,seasonal_diff,1,17,,,,,,,,,,,,,insufficient data,,,,
Tomales Bay Mid-Channel Buoy,pn,full,stl,1,267,0.8325742954321258,0.6232052917053847,0.3429125165431315,-0.19027494406351803,0.26397449773094755,-0.02681243546353434,6.0,False,-0.06072456566397011,0.32290552272956374,5.219867481006844e-05,0.1,stationary (both agree),-0.2822406700851633,2.7883221317774343e-06,0.578206466965556,0.20102390401371317
Tomales Bay Mid-Channel Buoy,pn,window,raw,1,36,,,0.5582846364705726,-0.7814513914304568,0.6052509387754916,-0.043240600996482276,5.0,False,0.0030289600670028688,0.9860118933225046,,,insufficient data,,,,
Tomales Bay Mid-Channel Buoy,pn,window,seasonal_diff,1,9,,,,,,,,,,,,,insufficient data,,,,
Tomales Bay Mid-Channel Buoy,pn,window,stl,1,172,0.9183298382859121,0.7445038931096649,0.3232361172873365,-0.2145331532020691,0.2513212534481335,-0.025620817262061335,5.0,False,-0.053822767444105475,0.4831530489680089,0.002525857689353764,0.1,stationary (both agree),0.4176566211359861,1.1961726647234573e-08,0.745939999579815,0.1333183116805018
Inner Tomales Bay,pn,full,raw,1,57,,,0.061766445889562656,-0.29020883323502816,-0.26399702310081047,-0.031109895998573132,4.0,False,-0.21029115874781806,0.11639111662136012,,,insufficient data,,,,
Inner Tomales Bay,pn,full,seasonal_diff,1,17,,,,,,,,,,,,,insufficient data,,,,
Inner Tomales Bay,pn,full,stl,1,267,0.6465077798067559,0.4662166317327831,0.2910741131221842,0.03410766476421375,0.13380281753608803,-0.014904392754954136,6.0,False,-0.0016229450298914359,0.9789424927546375,8.478843018972293e-06,0.1,stationary (both agree),-0.6389414376756287,4.9069678498963003e-32,0.4052246883351154,0.13655150491570522
Inner Tomales Bay,pn,window,raw,1,35,,,-0.09071793239059277,-0.4062729695356414,-0.3410750809055983,-0.031178834743387333,4.0,False,-0.18547952537979737,0.286084383846718,,,insufficient data,,,,
Inner Tomales Bay,pn,window,seasonal_diff,1,9,,,,,,,,,,,,,insufficient data,,,,
Inner Tomales Bay,pn,window,stl,1,172,0.8963004566002073,0.6596480882507163,0.1393985031687172,-0.3624066438075839,0.10245257884227457,-0.030702729287443963,4.0,False,-0.004987091814822625,0.9482308702033311,0.05288370776243598,0.1,"conflicting: ADF unit root, KPSS stationary (weak evidence)",-0.9999974861124321,0.0,0.7228915713900709,0.2568167461400942
Santa Cruz Wharf,pda,full,raw,1,717,0.42553901938346544,0.23668783291770548,0.21257595221807257,-0.0737560908186614,0.09173982330857641,-0.01132718878121229,6.0,False,-0.08529748024463377,0.02236111218165063,0.0004928407903891697,0.1,stationary (both agree),,,,
Santa Cruz Wharf,pda,full,seasonal_diff,1,642,0.27881815482848715,0.11277647808529699,0.17352103298758584,-0.0006119886253099906,-0.42823680598831537,-0.004819962526232489,5.0,False,0.08055673994761653,0.041304195122895536,2.5298419754679402e-14,0.1,stationary (both agree),,,,
Santa Cruz Wharf,pda,full,stl,1,768,0.31872462757551007,0.1365136061689832,0.14583014254955512,-0.024116486952477315,0.1352597951903067,-0.0058563858673311335,5.0,False,0.004922647059893104,0.891663951945626,5.758434721530781e-18,0.1,stationary (both agree),-0.8771438337973372,3.1991978206149867e-246,0.0,0.015885594124034674
Santa Cruz Wharf,pda,window,raw,1,182,0.5271257740726337,0.1214479007046,0.2625282051893858,-0.10093755663278912,0.3843455798006424,-0.01229793513937084,2.0,False,0.30662174105746554,2.5547289545954363e-05,0.011214201207142324,0.1,stationary (both agree),,,,
Santa Cruz Wharf,pda,window,seasonal_diff,1,131,0.41597103263160845,0.08267781490595232,0.15063030487833073,-0.06952812128541842,0.0687657357594416,-0.004901936332385826,2.0,False,0.25461755337855485,0.0033373018020071994,0.0064244805274551245,0.1,stationary (both agree),,,,
Santa Cruz Wharf,pda,window,stl,1,190,0.1036404269035786,0.05224903350273614,-0.047522027888249226,-0.02040306292294819,0.6631087990614251,-0.0005534084081144092,1.0,False,0.06765462234306258,0.353685729991964,6.674615834089782e-23,0.1,stationary (both agree),0.9267060409905941,7.69181313310248e-82,0.21610630404447395,0.07525102669329486
Monterey Wharf,pn,full,raw,1,599,0.5607695484968068,0.41444022184818036,0.29463459334336195,-0.3128513777658859,0.36768151346048106,-0.028074252363867364,10.0,False,0.06007590945929866,0.14194624263265437,1.8400048858988837e-09,0.1,stationary (both agree),,,,
Monterey Wharf,pn,full,seasonal_diff,1,448,0.35285236484251314,0.23331601841252442,0.09372237703930221,-0.004863604829586214,-0.47050207061046767,-0.005716163020296338,6.0,False,0.026314735439021818,0.5785403293628077,0.021742278726231447,0.051670181442404636,stationary (both agree),,,,
Monterey Wharf,pn,full,stl,1,1057,0.46615777911377704,0.2727774639128173,0.13190964912328904,-0.0249861555969973,0.04152488294889421,-0.009357022961086718,7.0,False,-0.04073405569604388,0.18573264574819673,9.116564093278818e-15,0.1,stationary (both agree),-0.8746595028788748,0.0,0.33818268370693805,0.13614632940811444
Monterey Wharf,pn,window,raw,1,130,0.5055089938992771,0.34980527649044846,0.36760528427195804,-0.31357534619173344,0.36821788316773,-0.02577714588695913,8.0,False,0.3175029945170351,0.00023246725302770806,1.8400048858988837e-09,0.1,stationary (both agree),,,,
Monterey Wharf,pn,window,seasonal_diff,1,70,0.266577201899192,0.01444923975675262,0.21425971609884742,0.11130643955111989,-0.7206021932014274,-0.002638422349090152,2.0,False,0.16201852736086214,0.18024231492563642,0.021742278726231447,0.051670181442404636,stationary (both agree),,,,
