quantity,unit_kind,unit_label,lead_days,n_matchups,n_events,event_rate,mean_model_prob,calibration_gap,prob_sep_event_minus_nonevent,auc,auc_se,auc_ci_low,auc_ci_high,auc_beats_random,auc_pr,auc_pr_baseline,auc_pr_lift,f1_max,f1_max_pp,mcc_max,mcc_max_pp,opt_pp_far_pod,POD_faropt,FAR_faropt,FOR_faropt,POFD_faropt,accuracy_faropt,opt_pp_for_pod,POD_foropt,FAR_foropt,FOR_foropt,POFD_foropt,accuracy_foropt,max_accuracy
pda,california_wide,All California HAB stations (Particulate domoic acid),0,1004,44,0.044,0.68,0.637,-0.188,0.316,0.036,0.246,0.386,False,0.03,0.044,0.693,0.084,0.0,0.01,0.0,0.002,1.0,0.956,,1.0,0.044,0.858,0.045,0.987,0.049,0.159,0.806,0.956
pda,california_wide,All California HAB stations (Particulate domoic acid),1,985,36,0.036,0.673,0.636,-0.162,0.312,0.039,0.236,0.388,False,0.025,0.037,0.682,0.071,0.0,0.016,0.0,0.006,0.944,0.965,0.087,0.978,0.056,0.844,0.056,0.99,0.044,0.217,0.756,0.963
pda,california_wide,All California HAB stations (Particulate domoic acid),2,1010,41,0.041,0.674,0.633,-0.195,0.294,0.035,0.225,0.363,False,0.028,0.041,0.688,0.078,0.0,0.016,0.0,0.008,0.951,0.961,0.125,0.986,0.052,0.892,0.049,0.98,0.043,0.102,0.863,0.959
pda,california_wide,All California HAB stations (Particulate domoic acid),3,959,40,0.042,0.672,0.63,-0.115,0.404,0.043,0.32,0.488,False,0.036,0.042,0.859,0.081,0.0,0.03,0.994,0.008,0.95,0.96,0.105,0.982,0.057,0.861,0.05,0.988,0.048,0.176,0.791,0.957
pda,station,Cal Poly Pier,0,156,6,0.038,0.699,0.661,0.01,0.462,0.117,0.232,0.692,False,0.041,0.038,1.07,0.093,0.706,0.075,0.706,0.343,1.0,0.957,0.0,0.88,0.154,0.907,0.0,1.0,0.044,0.133,0.833,0.962
pda,station,Cal Poly Pier,1,147,4,0.027,0.653,0.626,-0.003,0.444,0.14,0.169,0.719,False,0.03,0.027,1.092,0.063,0.357,0.076,0.357,0.351,1.0,0.967,0.0,0.825,0.197,0.859,0.0,1.0,0.035,0.231,0.748,0.973
pda,station,Cal Poly Pier,2,155,6,0.039,0.666,0.627,-0.12,0.386,0.108,0.174,0.598,False,0.036,0.039,0.921,0.081,0.099,0.058,0.099,0.092,1.0,0.958,0.0,0.919,0.116,0.867,0.0,1.0,0.05,0.228,0.742,0.961
pda,station,Cal Poly Pier,3,135,5,0.037,0.653,0.616,0.161,0.622,0.137,0.354,0.889,False,0.054,0.037,1.469,0.121,0.781,0.165,0.716,0.713,1.0,0.938,0.0,0.585,0.437,0.868,0.0,1.0,0.047,0.215,0.756,0.963
pda,station,Humboldt,0,28,0,0.0,0.647,0.647,,,,,,,,,,,,,,,,,,,,,,,,,,
pda,station,Humboldt,1,32,0,0.0,0.687,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,
pda,station,Humboldt,2,33,0,0.0,0.637,0.637,,,,,,,,,,,,,,,,,,,,,,,,,,
pda,station,Humboldt,3,29,0,0.0,0.623,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,
pda,station,Humboldt South Bay,0,31,3,0.097,0.711,0.614,-0.166,0.238,0.123,0.0,0.48,False,0.082,0.097,0.847,0.188,0.365,0.086,0.365,0.363,1.0,0.897,0.0,0.929,0.161,0.685,0.333,0.944,0.154,0.607,0.387,0.903
pda,station,Humboldt South Bay,1,31,2,0.064,0.668,0.603,-0.362,0.052,0.049,0.0,0.148,False,0.051,0.065,0.787,0.121,0.168,0.0,1.0,0.161,1.0,0.935,,1.0,0.065,0.26,0.5,0.966,0.5,0.966,0.065,0.935
pda,station,Humboldt South Bay,2,29,2,0.069,0.646,0.578,-0.149,0.278,0.162,0.0,0.595,False,0.069,0.069,1.007,0.154,0.401,0.124,0.401,0.402,1.0,0.917,0.0,0.815,0.241,0.617,0.0,1.0,0.167,0.63,0.345,0.931
pda,station,Humboldt South Bay,3,30,2,0.067,0.64,0.574,-0.406,0.089,0.073,0.0,0.233,False,0.055,0.067,0.824,0.133,0.239,0.071,0.239,0.231,1.0,0.929,0.0,0.929,0.133,0.284,0.5,0.962,0.25,0.893,0.133,0.933
pda,station,Newport Beach Pier,0,140,5,0.036,0.708,0.672,-0.14,0.397,0.12,0.162,0.632,False,0.053,0.036,1.49,0.154,0.9,0.118,0.9,0.002,1.0,0.964,,1.0,0.036,0.044,0.8,0.971,1.0,1.0,0.029,0.964
pda,station,Newport Beach Pier,1,130,3,0.023,0.712,0.69,0.035,0.541,0.173,0.202,0.88,False,0.035,0.023,1.521,0.085,0.793,0.107,0.793,0.631,1.0,0.971,0.0,0.803,0.215,0.819,0.0,1.0,0.03,0.228,0.754,0.977
pda,station,Newport Beach Pier,2,138,4,0.029,0.713,0.684,-0.101,0.308,0.115,0.082,0.534,False,0.026,0.029,0.886,0.061,0.422,0.051,0.422,0.421,1.0,0.969,0.0,0.918,0.109,0.808,0.0,1.0,0.04,0.284,0.696,0.971
pda,station,Newport Beach Pier,3,129,5,0.039,0.703,0.665,0.025,0.484,0.131,0.228,0.74,False,0.042,0.039,1.092,0.116,0.699,0.155,0.699,0.693,1.0,0.942,0.0,0.653,0.372,0.759,0.0,1.0,0.06,0.371,0.605,0.953
pda,station,Santa Cruz Wharf,0,149,8,0.054,0.604,0.551,-0.21,0.373,0.093,0.191,0.556,False,0.052,0.054,0.966,0.108,0.816,0.033,0.816,0.001,1.0,0.946,,1.0,0.054,0.845,0.0,1.0,0.06,0.106,0.846,0.946
pda,station,Santa Cruz Wharf,1,152,7,0.046,0.571,0.525,-0.252,0.266,0.081,0.108,0.424,False,0.038,0.046,0.823,0.089,0.0,0.025,0.0,0.002,1.0,0.954,,1.0,0.046,0.847,0.0,1.0,0.051,0.11,0.849,0.954
pda,station,Santa Cruz Wharf,2,151,8,0.053,0.61,0.557,-0.375,0.149,0.05,0.051,0.248,False,0.034,0.053,0.634,0.101,0.0,0.0,1.0,0.002,1.0,0.947,,1.0,0.053,0.236,0.25,0.985,0.316,0.909,0.099,0.947
pda,station,Santa Cruz Wharf,3,149,9,0.06,0.586,0.526,-0.16,0.347,0.085,0.181,0.513,False,0.054,0.06,0.887,0.125,0.75,0.041,0.75,0.003,1.0,0.94,,1.0,0.06,0.824,0.111,0.955,0.063,0.15,0.805,0.94
pda,station,Santa Monica Pier,0,154,6,0.039,0.678,0.639,-0.235,0.284,0.09,0.107,0.461,False,0.035,0.039,0.886,0.083,0.852,0.031,0.852,0.001,1.0,0.961,,1.0,0.039,0.18,0.667,0.974,0.667,0.993,0.032,0.961
pda,station,Santa Monica Pier,1,154,5,0.032,0.692,0.66,-0.172,0.291,0.1,0.095,0.487,False,0.027,0.032,0.818,0.064,0.076,0.026,0.076,0.072,1.0,0.967,0.0,0.98,0.052,0.818,0.0,1.0,0.043,0.262,0.714,0.968
pda,station,Santa Monica Pier,2,156,6,0.038,0.671,0.632,-0.078,0.299,0.093,0.116,0.482,False,0.031,0.038,0.814,0.083,0.447,0.072,0.447,0.442,1.0,0.957,0.0,0.887,0.147,0.817,0.0,1.0,0.047,0.18,0.788,0.962
pda,station,Santa Monica Pier,3,151,6,0.04,0.69,0.651,-0.183,0.303,0.094,0.119,0.488,False,0.032,0.04,0.804,0.076,0.069,0.001,0.723,0.062,1.0,0.96,,1.0,0.04,0.073,0.833,0.967,1.0,1.0,0.033,0.96
pda,station,Scripps Pier,0,156,7,0.045,0.71,0.665,-0.166,0.252,0.078,0.1,0.404,False,0.032,0.045,0.718,0.086,0.001,0.0,1.0,0.003,1.0,0.955,,1.0,0.045,0.103,0.857,0.961,1.0,1.0,0.038,0.955
pda,station,Scripps Pier,1,154,7,0.046,0.729,0.684,-0.246,0.135,0.049,0.039,0.231,False,0.029,0.045,0.634,0.087,0.02,0.0,1.0,0.023,1.0,0.955,,1.0,0.045,0.329,0.714,0.967,0.667,0.993,0.039,0.955
pda,station,Scripps Pier,2,157,6,0.038,0.712,0.673,-0.112,0.319,0.097,0.129,0.509,False,0.032,0.038,0.83,0.075,0.289,0.023,0.289,0.282,1.0,0.962,0.0,0.993,0.045,0.827,0.0,1.0,0.048,0.205,0.764,0.962
pda,station,Scripps Pier,3,151,6,0.04,0.727,0.688,-0.154,0.371,0.106,0.163,0.579,False,0.04,0.04,1.0,0.1,0.79,0.06,0.79,0.152,1.0,0.96,,1.0,0.04,0.847,0.0,1.0,0.047,0.152,0.815,0.96
pda,station,Stearns Wharf,0,152,4,0.026,0.695,0.668,-0.315,0.242,0.098,0.05,0.433,False,0.023,0.026,0.875,0.053,0.846,0.013,0.0,0.001,1.0,0.974,,1.0,0.026,0.849,0.0,1.0,0.034,0.223,0.757,0.974
pda,station,Stearns Wharf,1,148,3,0.02,0.68,0.66,0.031,0.483,0.167,0.156,0.81,False,0.026,0.02,1.28,0.061,0.784,0.07,0.784,0.521,1.0,0.975,0.0,0.814,0.203,0.819,0.0,1.0,0.029,0.31,0.676,0.98
pda,station,Stearns Wharf,2,152,4,0.026,0.679,0.653,-0.118,0.488,0.146,0.203,0.774,False,0.092,0.026,3.503,0.25,0.94,0.23,0.94,0.071,1.0,0.972,0.0,0.953,0.072,0.949,0.0,1.0,0.027,0.02,0.954,0.974
pda,station,Stearns Wharf,3,146,4,0.027,0.679,0.651,0.174,0.692,0.149,0.399,0.984,False,0.12,0.027,4.388,0.286,0.994,0.271,0.994,0.742,1.0,0.951,0.0,0.549,0.466,0.999,0.0,,0.027,0.0,0.973,0.973
pda,station,Trinidad Pier,0,38,5,0.132,0.63,0.499,-0.298,0.218,0.094,0.035,0.402,False,0.098,0.132,0.745,0.233,0.001,0.0,1.0,0.006,0.8,0.892,1.0,1.0,0.105,0.024,0.8,0.892,1.0,1.0,0.105,0.868
pda,station,Trinidad Pier,1,37,5,0.135,0.678,0.543,-0.192,0.294,0.112,0.074,0.513,False,0.11,0.135,0.817,0.238,0.035,0.0,1.0,0.036,0.8,0.889,1.0,1.0,0.108,0.084,0.8,0.889,1.0,1.0,0.108,0.865
pda,station,Trinidad Pier,2,39,5,0.128,0.698,0.57,-0.417,0.135,0.068,0.001,0.269,False,0.09,0.128,0.7,0.227,0.062,0.0,1.0,0.066,0.8,0.895,1.0,1.0,0.103,0.74,0.2,0.947,0.2,0.529,0.436,0.872
pda,station,Trinidad Pier,3,39,3,0.077,0.713,0.636,-0.636,0.0,0.0,0.0,0.0,False,0.052,0.077,0.679,0.143,0.012,0.0,1.0,0.012,1.0,0.923,,1.0,0.077,1.0,0.0,,0.077,0.0,0.923,0.923
pn,california_wide,All California HAB stations (Pseudo-nitzschia spp.),0,1428,332,0.232,0.846,0.614,0.004,0.523,0.018,0.487,0.558,False,0.25,0.232,1.075,0.377,0.0,0.061,0.883,0.775,0.753,0.766,0.227,0.745,0.37,0.971,0.241,0.748,0.227,0.217,0.657,0.768
pn,california_wide,All California HAB stations (Pseudo-nitzschia spp.),1,1406,324,0.23,0.839,0.608,-0.005,0.493,0.018,0.457,0.529,False,0.23,0.23,0.997,0.375,0.088,0.035,0.969,0.748,0.769,0.772,0.239,0.779,0.347,0.967,0.21,0.754,0.227,0.192,0.67,0.77
pn,california_wide,All California HAB stations (Pseudo-nitzschia spp.),2,1441,345,0.239,0.83,0.591,-0.009,0.494,0.018,0.459,0.529,False,0.246,0.239,1.027,0.386,0.0,0.078,0.998,0.741,0.762,0.761,0.241,0.765,0.362,0.965,0.2,0.772,0.242,0.213,0.647,0.761
pn,california_wide,All California HAB stations (Pseudo-nitzschia spp.),3,1369,316,0.231,0.831,0.6,0.009,0.508,0.019,0.471,0.544,False,0.242,0.231,1.049,0.378,0.357,0.057,0.991,0.749,0.763,0.766,0.223,0.751,0.367,0.965,0.203,0.767,0.23,0.2,0.662,0.768
pn,station,Bodega Marine Lab,0,160,3,0.019,0.892,0.873,0.097,0.898,0.121,0.661,1.0,True,0.397,0.019,21.172,0.5,0.995,0.574,0.995,0.972,1.0,0.929,0.0,0.248,0.756,0.999,0.0,,0.019,0.0,0.981,0.981
pn,station,Bodega Marine Lab,1,156,3,0.019,0.89,0.871,0.06,0.728,0.168,0.398,1.0,False,0.063,0.019,3.299,0.154,0.981,0.205,0.981,0.871,1.0,0.969,0.0,0.621,0.391,0.99,0.0,1.0,0.021,0.072,0.91,0.981
